epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,185.271,1.40702,0.90989,0.99199,0.35598,0.00997585,0.00332528,0.00997585,0.00332528,0.00997585,0.00332528,0.00997585,0.00332528
2,362.297,0.28104,0.93104,0.99479,0.22518,0.0195803,0.00652677,0.0195803,0.00652677,0.0195803,0.00652677,0.0195803,0.00652677
3,537.624,0.20753,0.78603,0.9886,0.66755,0.0287888,0.00959627,0.0287888,0.00959627,0.0287888,0.00959627,0.0287888,0.00959627
4,713.233,0.26213,0.83852,0.98686,0.59082,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,889.121,0.17509,0.94864,0.99524,0.16028,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1067.87,0.14306,0.97183,0.99766,0.0858,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1245.24,0.11215,0.9281,0.99585,0.24593,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1422.17,0.11,0.98323,0.99811,0.05628,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1597.42,0.09784,0.97591,0.99804,0.06889,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,1774.43,0.09116,0.98489,0.99856,0.04615,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,1951.09,0.08756,0.99063,0.99864,0.02656,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,2127.97,0.07952,0.99124,0.99872,0.02641,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,2302.58,0.08152,0.99199,0.99864,0.02181,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,2477.01,0.07292,0.99169,0.99841,0.02284,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,2652.81,0.07123,0.99109,0.99887,0.02152,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,2827.27,0.07082,0.99177,0.99856,0.02213,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,3003.18,0.06782,0.99199,0.99849,0.01911,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,3178.27,0.06795,0.99222,0.99894,0.01961,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,3353.53,0.06046,0.99335,0.99887,0.01777,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,3531.04,0.0603,0.99252,0.99864,0.01701,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,3710.11,0.05434,0.99343,0.99887,0.01597,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,3890.31,0.05169,0.99305,0.99887,0.01637,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,4071.42,0.05144,0.99335,0.99879,0.01516,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,4252.89,0.05375,0.99282,0.99879,0.01669,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,4435.5,0.04719,0.99313,0.99879,0.01604,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,4618.76,0.05011,0.99328,0.99887,0.01543,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,4802.05,0.0428,0.99305,0.99894,0.01552,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,4986.12,0.04481,0.99343,0.99887,0.01615,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,5169.19,0.04085,0.99388,0.99887,0.01568,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,5351.13,0.0401,0.99366,0.99887,0.01561,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,5532.82,0.03788,0.99358,0.99887,0.01553,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,5716.22,0.03845,0.9935,0.99879,0.01552,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,5898.75,0.03654,0.99373,0.99887,0.01513,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,6084.72,0.03337,0.99388,0.99887,0.01515,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,6266.08,0.03109,0.99366,0.99887,0.01493,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,6449.64,0.03011,0.99373,0.99887,0.01499,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,6630.37,0.02789,0.99373,0.99894,0.01502,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,6812.35,0.02508,0.99373,0.99894,0.01514,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,6993.75,0.02429,0.99396,0.99894,0.01539,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,7176.32,0.02388,0.99396,0.99887,0.01548,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,7363.08,0.02286,0.99396,0.99879,0.01549,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,7546.19,0.02297,0.99396,0.99894,0.01553,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,7728.54,0.02022,0.99396,0.99894,0.01563,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,7912.56,0.01878,0.99388,0.99894,0.0157,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,8095.1,0.01777,0.99388,0.99894,0.01568,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,8276.44,0.01642,0.99388,0.99887,0.01566,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,8457.55,0.01472,0.99388,0.99887,0.01567,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,8638.37,0.01474,0.99388,0.99887,0.0157,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,8819.21,0.0143,0.99388,0.99879,0.0157,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,9000.26,0.01234,0.99388,0.99879,0.01572,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
